Date,Well Name,Surface X,Surface Y,Is Injector Well,Oil Production Rate,Water Production Rate,Gas Production Rate,Water Injection Rate,Gas Injection Rate,Bottomhole Pressure
7/1/2016,A11,2697878.048,2290816.795,0,5905.1,33462.3,1.8,0,0,100
8/1/2016,A11,2697878.048,2290816.795,0,5178.6,27748.5,1.6,0,0,100
9/1/2016,A11,2697878.048,2290816.795,0,5175.5,27171.3,1.6,0,0,100
10/1/2016,A11,2697878.048,2290816.795,0,4969.1,30524.7,1.6,0,0,100
11/1/2016,A11,2697878.048,2290816.795,0,4244.8,28407.7,1.3,0,0,100
12/1/2016,A11,2697878.048,2290816.795,0,3908.8,28664.4,1.2,0,0,100
1/1/2017,A11,2697878.048,2290816.795,0,3311.4,33482.1,1,0,0,100
2/1/2017,A11,2697878.048,2290816.795,0,5452.7,28626.3,1.7,0,0,100
3/1/2017,A11,2697878.048,2290816.795,0,4300.3,31535.5,1.3,0,0,100
4/1/2017,A11,2697878.048,2290816.795,0,3511.9,31607.2,1.1,0,0,100
5/1/2017,A11,2697878.048,2290816.795,0,3413.4,30720.2,1.1,0,0,100
6/1/2017,A11,2697878.048,2290816.795,0,3806.1,34255,1.2,0,0,100
7/1/2017,A11,2697878.048,2290816.795,0,4293.9,38644.7,1.3,0,0,100
8/1/2017,A11,2697878.048,2290816.795,0,6649.8,37062.9,2.1,0,0,100
9/1/2017,A11,2697878.048,2290816.795,0,5564.8,37913.8,1.7,0,0,100
10/1/2017,A11,2697878.048,2290816.795,0,5751.8,38789.3,1.8,0,0,100
11/1/2017,A11,2697878.048,2290816.795,0,4223.7,38013.5,1.3,0,0,100
12/1/2017,A11,2697878.048,2290816.795,0,4262.9,38366.2,1.3,0,0,100
1/1/2018,A11,2697878.048,2290816.795,0,5369,35930.8,1.7,0,0,100
2/1/2018,A11,2697878.048,2290816.795,0,4552.7,30469.1,1.5,0,0,100
3/1/2018,A11,2697878.048,2290816.795,0,3547.4,28701.4,1.1,0,0,100
4/1/2018,A11,2697878.048,2290816.795,0,1,1,0,0,0,100
7/1/2016,A12,2699111.598,2289832.9,0,11144.3,81725,3.5,0,0,100
8/1/2016,A12,2699111.598,2289832.9,0,9000,66000.3,2.8,0,0,100
9/1/2016,A12,2699111.598,2289832.9,0,8714.6,63906.7,2.7,0,0,100
10/1/2016,A12,2699111.598,2289832.9,0,9780.1,71720.8,3.1,0,0,100
11/1/2016,A12,2699111.598,2289832.9,0,10714.5,65817.5,3.3,0,0,100
12/1/2016,A12,2699111.598,2289832.9,0,9467.1,69425.1,3,0,0,100
1/1/2017,A12,2699111.598,2289832.9,0,9941.4,72903.4,3.1,0,0,100
2/1/2017,A12,2699111.598,2289832.9,0,8798.3,64070.1,2.8,0,0,100
3/1/2017,A12,2699111.598,2289832.9,0,8339.1,75051.8,2.6,0,0,100
4/1/2017,A12,2699111.598,2289832.9,0,10930.2,73148.4,3.4,0,0,100
5/1/2017,A12,2699111.598,2289832.9,0,10508.3,77060.9,3.3,0,0,100
6/1/2017,A12,2699111.598,2289832.9,0,11112.9,81494.6,3.5,0,0,100
7/1/2017,A12,2699111.598,2289832.9,0,10356.9,93212.4,3.2,0,0,100
8/1/2017,A12,2699111.598,2289832.9,0,10113.7,91023.7,3.2,0,0,100
9/1/2017,A12,2699111.598,2289832.9,0,12331.9,90433.9,3.9,0,0,100
10/1/2017,A12,2699111.598,2289832.9,0,12438.8,91218.1,3.9,0,0,100
11/1/2017,A12,2699111.598,2289832.9,0,12807.2,93919.5,4,0,0,100
12/1/2017,A12,2699111.598,2289832.9,0,13031.6,95564.8,4.1,0,0,100
1/1/2018,A12,2699111.598,2289832.9,0,11673.1,100687,3.6,0,0,100
2/1/2018,A12,2699111.598,2289832.9,0,14213.5,115000.8,4.4,0,0,100
3/1/2018,A12,2699111.598,2289832.9,0,9929.6,89366.5,3.1,0,0,100
4/1/2018,A12,2699111.598,2289832.9,0,12986.5,86909.4,4.1,0,0,100
7/1/2016,A4,2697998.903,2290131.397,0,1,1,0.9,0,0,100
8/1/2016,A4,2697998.903,2290131.397,0,1,1,0.9,0,0,100
9/1/2016,A4,2697998.903,2290131.397,0,1,1,0.9,0,0,100
10/1/2016,A4,2697998.903,2290131.397,0,1,1,0.9,0,0,100
11/1/2016,A4,2697998.903,2290131.397,0,1,1,0.9,0,0,100
12/1/2016,A4,2697998.903,2290131.397,0,2771.5,2771.5,0.9,0,0,100
1/1/2017,A4,2697998.903,2290131.397,0,3001.7,3001.7,0.9,0,0,100
2/1/2017,A4,2697998.903,2290131.397,0,2390.6,3585.8,0.7,0,0,100
3/1/2017,A4,2697998.903,2290131.397,0,2286.2,4245.8,0.7,0,0,100
4/1/2017,A4,2697998.903,2290131.397,0,1723.2,3200.2,0.5,0,0,100
5/1/2017,A4,2697998.903,2290131.397,0,1681.8,3123.4,0.5,0,0,100
6/1/2017,A4,2697998.903,2290131.397,0,1657.8,3078.7,0.5,0,0,100
7/1/2017,A4,2697998.903,2290131.397,0,1629.6,3026.4,0.5,0,0,100
8/1/2017,A4,2697998.903,2290131.397,0,2345.4,3987,0.7,0,0,100
9/1/2017,A4,2697998.903,2290131.397,0,3568.8,4247.1,1.1,0,0,100
10/1/2017,A4,2697998.903,2290131.397,0,3014.6,3684.6,0.9,0,0,100
11/1/2017,A4,2697998.903,2290131.397,0,2345.1,4355.3,0.7,0,0,100
12/1/2017,A4,2697998.903,2290131.397,0,2462.7,3694.1,0.8,0,0,100
1/1/2018,A4,2697998.903,2290131.397,0,2506.2,3759.4,0.8,0,0,100
2/1/2018,A4,2697998.903,2290131.397,0,3078,4617,1,0,0,100
3/1/2018,A4,2697998.903,2290131.397,0,2489.9,4050.9,0.8,0,0,100
4/1/2018,A4,2697998.903,2290131.397,0,3144.4,5590,1,0,0,100
7/1/2016,B10,2697909.828,2287430.203,0,48396.3,32264.2,15.1,0,0,100
8/1/2016,B10,2697909.828,2287430.203,0,41628.5,27752.4,13,0,0,100
9/1/2016,B10,2697909.828,2287430.203,0,36805.5,26355,11.5,0,0,100
10/1/2016,B10,2697909.828,2287430.203,0,40524.7,27417.2,12.6,0,0,100
11/1/2016,B10,2697909.828,2287430.203,0,34300.1,31026.1,10.7,0,0,100
12/1/2016,B10,2697909.828,2287430.203,0,34857.9,34857.9,10.9,0,0,100
1/1/2017,B10,2697909.828,2287430.203,0,36462.8,36462.8,11.4,0,0,100
2/1/2017,B10,2697909.828,2287430.203,0,34424.9,28165.8,10.7,0,0,100
3/1/2017,B10,2697909.828,2287430.203,0,40287.4,32962.4,12.6,0,0,100
4/1/2017,B10,2697909.828,2287430.203,0,37571.3,30740.1,11.7,0,0,100
5/1/2017,B10,2697909.828,2287430.203,0,39064.2,31961.6,12.2,0,0,100
6/1/2017,B10,2697909.828,2287430.203,0,38567.2,35099.9,12,0,0,100
7/1/2017,B10,2697909.828,2287430.203,0,40699,40699,12.7,0,0,100
8/1/2017,B10,2697909.828,2287430.203,0,39332.7,39873.2,12.3,0,0,100
9/1/2017,B10,2697909.828,2287430.203,0,36868.2,45359.9,11.5,0,0,100
10/1/2017,B10,2697909.828,2287430.203,0,38310,46823.3,12,0,0,100
11/1/2017,B10,2697909.828,2287430.203,0,37166.9,45426.2,11.6,0,0,100
12/1/2017,B10,2697909.828,2287430.203,0,40165.9,49091.7,12.5,0,0,100
1/1/2018,B10,2697909.828,2287430.203,0,42595.8,52061.5,13.3,0,0,100
2/1/2018,B10,2697909.828,2287430.203,0,39936.7,48811.5,12.5,0,0,100
3/1/2018,B10,2697909.828,2287430.203,0,38897.9,47541.9,12.1,0,0,100
4/1/2018,B10,2697909.828,2287430.203,0,40999.6,45003.2,12.8,0,0,100
7/1/2016,B13,2696772.795,2286664.348,0,4887.9,11405.2,1.5,0,0,100
8/1/2016,B13,2696772.795,2286664.348,0,6475.8,21139.5,2,0,0,100
9/1/2016,B13,2696772.795,2286664.348,0,7900.9,19343.5,2.5,0,0,100
10/1/2016,B13,2696772.795,2286664.348,0,6906.6,18673.4,2.2,0,0,100
11/1/2016,B13,2696772.795,2286664.348,0,10500.3,24500.8,3.3,0,0,100
12/1/2016,B13,2696772.795,2286664.348,0,12084.6,24535.5,3.8,0,0,100
1/1/2017,B13,2696772.795,2286664.348,0,11586.4,24621.2,3.6,0,0,100
2/1/2017,B13,2696772.795,2286664.348,0,9377.2,21880.1,2.9,0,0,100
3/1/2017,B13,2696772.795,2286664.348,0,9573,22336.9,3,0,0,100
4/1/2017,B13,2696772.795,2286664.348,0,8224.7,19190.9,2.6,0,0,100
5/1/2017,B13,2696772.795,2286664.348,0,7556.9,21508,2.4,0,0,100
6/1/2017,B13,2696772.795,2286664.348,0,9688.7,22607,3,0,0,100
7/1/2017,B13,2696772.795,2286664.348,0,10234.5,23880.4,3.2,0,0,100
8/1/2017,B13,2696772.795,2286664.348,0,9250.7,23481.1,2.9,0,0,100
9/1/2017,B13,2696772.795,2286664.348,0,8612.3,23285.1,2.7,0,0,100
10/1/2017,B13,2696772.795,2286664.348,0,10827.5,25264.1,3.4,0,0,100
11/1/2017,B13,2696772.795,2286664.348,0,10807.2,25216.8,3.4,0,0,100
12/1/2017,B13,2696772.795,2286664.348,0,12253.6,27666.6,3.8,0,0,100
1/1/2018,B13,2696772.795,2286664.348,0,11605.6,27079.7,3.6,0,0,100
2/1/2018,B13,2696772.795,2286664.348,0,11785.2,30012.2,3.7,0,0,100
3/1/2018,B13,2696772.795,2286664.348,0,12340.7,43753.2,3.9,0,0,100
4/1/2018,B13,2696772.795,2286664.348,0,10218.7,29084,3.2,0,0,100
7/1/2016,B2,2698490.763,2290147.455,0,6826.7,31099.5,2.1,0,0,100
8/1/2016,B2,2698490.763,2290147.455,0,6136.7,27955.9,1.9,0,0,100
9/1/2016,B2,2698490.763,2290147.455,0,5966,23863.4,1.9,0,0,100
10/1/2016,B2,2698490.763,2290147.455,0,600.7,2403.4,0,0,0,100
11/1/2016,B2,2698490.763,2290147.455,0,1,0,0,0,0,100
12/1/2016,B2,2698490.763,2290147.455,0,1,0,0,0,0,100
1/1/2017,B2,2698490.763,2290147.455,0,1,0,0,0,0,100
2/1/2017,B2,2698490.763,2290147.455,0,1,0,0,0,0,100
3/1/2017,B2,2698490.763,2290147.455,0,1,0,0,0,0,100
4/1/2017,B2,2698490.763,2290147.455,0,2068.4,10099.1,0.7,0,0,100
5/1/2017,B2,2698490.763,2290147.455,0,2406.6,9626.5,0.8,0,0,100
